 ***************************遗传算法进化代数:  16 最大目标函数值:  0.6844****** 耗时:    93s*****************************************
 ***************************遗传算法进化代数:  17 最大目标函数值:  0.6835****** 耗时:    98s*****************************************
 ***************************遗传算法进化代数:  18 最大目标函数值:  0.6849****** 耗时:   104s*****************************************
 ***************************遗传算法进化代数:  19 最大目标函数值:  0.6850****** 耗时:   110s*****************************************
 ***************************遗传算法进化代数:  20 最大目标函数值:  0.6852****** 耗时:   116s*****************************************


 *************************************************************
 *************并行遗传算法率定swat参数**********************


 开始时间: 20170509 18:20:08:180   结束时间: 20170509 18:22:04:452    历时:  116s


 率定的参数个数:  4 迭代次数:   20  种子个数:   64  进程数:   16


 the best simulate: the recur_num =  1    the seed_num =  7


 best object function value(  0.7603) not arrive the threshold(0.90)


 *************************************************************
 *************************************************************
 ***************************遗传算法进化代数:   1 最大目标函数值:  0.7455****** 耗时:     6s*****************************************
 ***************************遗传算法进化代数:   2 最大目标函数值:  0.7365****** 耗时:    12s*****************************************
 ***************************遗传算法进化代数:   3 最大目标函数值:  0.7173****** 耗时:    18s*****************************************
 ***************************遗传算法进化代数:   4 最大目标函数值:  0.7031****** 耗时:    24s*****************************************
 ***************************遗传算法进化代数:   5 最大目标函数值:  0.7001****** 耗时:    30s*****************************************
 ***************************遗传算法进化代数:   6 最大目标函数值:  0.7074****** 耗时:    36s*****************************************
 ***************************遗传算法进化代数:   7 最大目标函数值:  0.7067****** 耗时:    42s*****************************************
 ***************************遗传算法进化代数:   8 最大目标函数值:  0.7029****** 耗时:    48s*****************************************
 ***************************遗传算法进化代数:   9 最大目标函数值:  0.6965****** 耗时:    54s*****************************************
 ***************************遗传算法进化代数:  10 最大目标函数值:  0.6980****** 耗时:    60s*****************************************
 ***************************遗传算法进化代数:  11 最大目标函数值:  0.6987****** 耗时:    66s*****************************************
 ***************************遗传算法进化代数:  12 最大目标函数值:  0.6976****** 耗时:    71s*****************************************
 ***************************遗传算法进化代数:  13 最大目标函数值:  0.6969****** 耗时:    77s*****************************************
 ***************************遗传算法进化代数:  14 最大目标函数值:  0.6935****** 耗时:    83s*****************************************
 ***************************遗传算法进化代数:  15 最大目标函数值:  0.6936****** 耗时:    89s*****************************************
 ***************************遗传算法进化代数:  16 最大目标函数值:  0.6927****** 耗时:    94s*****************************************
 ***************************遗传算法进化代数:  17 最大目标函数值:  0.6915****** 耗时:   100s*****************************************
 ***************************遗传算法进化代数:  18 最大目标函数值:  0.6910****** 耗时:   106s*****************************************
 ***************************遗传算法进化代数:  19 最大目标函数值:  0.6918****** 耗时:   112s*****************************************
 ***************************遗传算法进化代数:  20 最大目标函数值:  0.6926****** 耗时:   118s*****************************************


 *************************************************************
 *************并行遗传算法率定swat参数**********************


 开始时间: 20170509 18:22:04:593   结束时间: 20170509 18:24:02:569    历时:  118s


 率定的参数个数:  4 迭代次数:   20  种子个数:   64  进程数:   16


 the best simulate: the recur_num =  1    the seed_num = 16


 best object function value(  0.7455) not arrive the threshold(0.90)


 *************************************************************
 *************************************************************
 ***************************遗传算法进化代数:   1 最大目标函数值:  0.7472****** 耗时:     6s*****************************************
 ***************************遗传算法进化代数:   2 最大目标函数值:  0.7160****** 耗时:    12s*****************************************
 ***************************遗传算法进化代数:   3 最大目标函数值:  0.7149****** 耗时:    18s*****************************************
 ***************************遗传算法进化代数:   4 最大目标函数值:  0.7119****** 耗时:    24s*****************************************
 ***************************遗传算法进化代数:   5 最大目标函数值:  0.7043****** 耗时:    30s*****************************************
 ***************************遗传算法进化代数:   6 最大目标函数值:  0.6860****** 耗时:    35s*****************************************
 ***************************遗传算法进化代数:   7 最大目标函数值:  0.6856****** 耗时:    41s*****************************************
 ***************************遗传算法进化代数:   8 最大目标函数值:  0.6829****** 耗时:    47s*****************************************
 ***************************遗传算法进化代数:   9 最大目标函数值:  0.6841****** 耗时:    53s*****************************************
 ***************************遗传算法进化代数:  10 最大目标函数值:  0.6783****** 耗时:    59s*****************************************
 ***************************遗传算法进化代数:  11 最大目标函数值:  0.6713****** 耗时:    65s*****************************************
 ***************************遗传算法进化代数:  12 最大目标函数值:  0.6696****** 耗时:    71s*****************************************
 ***************************遗传算法进化代数:  13 最大目标函数值:  0.6707****** 耗时:    77s*****************************************
 ***************************遗传算法进化代数:  14 最大目标函数值:  0.6672****** 耗时:    82s*****************************************
 ***************************遗传算法进化代数:  15 最大目标函数值:  0.6674****** 耗时:    88s*****************************************
 ***************************遗传算法进化代数:  16 最大目标函数值:  0.6697****** 耗时:    94s*****************************************
 ***************************遗传算法进化代数:  17 最大目标函数值:  0.6720****** 耗时:   100s*****************************************
 ***************************遗传算法进化代数:  18 最大目标函数值:  0.6717****** 耗时:   106s*****************************************
 ***************************遗传算法进化代数:  19 最大目标函数值:  0.6708****** 耗时:   112s*****************************************
 ***************************遗传算法进化代数:  20 最大目标函数值:  0.6702****** 耗时:   118s*****************************************


 *************************************************************
 *************并行遗传算法率定swat参数**********************


 开始时间: 20170509 18:24:02:707   结束时间: 20170509 18:26:00:190    历时:  118s


 率定的参数个数:  4 迭代次数:   20  种子个数:   64  进程数:   16


 the best simulate: the recur_num =  1    the seed_num = 11


 best object function value(  0.7472) not arrive the threshold(0.90)


 *************************************************************
 *************************************************************
 ***************************遗传算法进化代数:   1 最大目标函数值:  0.7588****** 耗时:     6s*****************************************
 ***************************遗传算法进化代数:   2 最大目标函数值:  0.6983****** 耗时:    12s*****************************************
 ***************************遗传算法进化代数:   3 最大目标函数值:  0.6912****** 耗时:    18s*****************************************
 ***************************遗传算法进化代数:   4 最大目标函数值:  0.6944****** 耗时:    23s*****************************************
 ***************************遗传算法进化代数:   5 最大目标函数值:  0.6863****** 耗时:    29s*****************************************
 ***************************遗传算法进化代数:   6 最大目标函数值:  0.6783****** 耗时:    35s*****************************************
 ***************************遗传算法进化代数:   7 最大目标函数值:  0.6766****** 耗时:    41s*****************************************
 ***************************遗传算法进化代数:   8 最大目标函数值:  0.6793****** 耗时:    46s*****************************************
 ***************************遗传算法进化代数:   9 最大目标函数值:  0.6824****** 耗时:    52s*****************************************
 ***************************遗传算法进化代数:  10 最大目标函数值:  0.6824****** 耗时:    58s*****************************************
 ***************************遗传算法进化代数:  11 最大目标函数值:  0.6821****** 耗时:    64s*****************************************
 ***************************遗传算法进化代数:  12 最大目标函数值:  0.6820****** 耗时:    71s*****************************************
 ***************************遗传算法进化代数:  13 最大目标函数值:  0.6807****** 耗时:    76s*****************************************
 ***************************遗传算法进化代数:  14 最大目标函数值:  0.6772****** 耗时:    82s*****************************************
 ***************************遗传算法进化代数:  15 最大目标函数值:  0.6758****** 耗时:    88s*****************************************
 ***************************遗传算法进化代数:  16 最大目标函数值:  0.6758****** 耗时:    93s*****************************************
 ***************************遗传算法进化代数:  17 最大目标函数值:  0.6727****** 耗时:   100s*****************************************
 ***************************遗传算法进化代数:  18 最大目标函数值:  0.6726****** 耗时:   105s*****************************************
 ***************************遗传算法进化代数:  19 最大目标函数值:  0.6743****** 耗时:   111s*****************************************
 ***************************遗传算法进化代数:  20 最大目标函数值:  0.6741****** 耗时:   117s*****************************************


 *************************************************************
 *************并行遗传算法率定swat参数**********************


 开始时间: 20170509 18:26:00:334   结束时间: 20170509 18:27:57:717    历时:  117s


 率定的参数个数:  4 迭代次数:   20  种子个数:   64  进程数:   16


 the best simulate: the recur_num =  1    the seed_num = 16


 best object function value(  0.7588) not arrive the threshold(0.90)


 *************************************************************
 *************************************************************
 ***************************遗传算法进化代数:   1 最大目标函数值:  0.7650****** 耗时:     6s*****************************************
 ***************************遗传算法进化代数:   2 最大目标函数值:  0.7044****** 耗时:    12s*****************************************
 ***************************遗传算法进化代数:   3 最大目标函数值:  0.6882****** 耗时:    18s*****************************************
 ***************************遗传算法进化代数:   4 最大目标函数值:  0.6870****** 耗时:    23s*****************************************
 ***************************遗传算法进化代数:   5 最大目标函数值:  0.6834****** 耗时:    29s*****************************************
 ***************************遗传算法进化代数:   6 最大目标函数值:  0.6723****** 耗时:    35s*****************************************
 ***************************遗传算法进化代数:   7 最大目标函数值:  0.6678****** 耗时:    41s*****************************************
 ***************************遗传算法进化代数:   8 最大目标函数值:  0.6658****** 耗时:    48s*****************************************
 ***************************遗传算法进化代数:   9 最大目标函数值:  0.6635****** 耗时:    53s*****************************************
 ***************************遗传算法进化代数:  10 最大目标函数值:  0.6629****** 耗时:    59s*****************************************
